Time,Temperature,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Acc_Angle_X,Acc_Angle_Y,Angle_X,Angle_Y,Angle_Z
1729350034.5530589,27.05,-0.01,-0.0,0.99,0.06,0.03,0.1,-0.23,0.36,-0.0,0.05,0.11
1729350035.5109491,27.0,-0.01,-0.0,0.99,-0.14,0.06,-0.04,-0.07,0.47,0.02,-0.0,0.12
1729350036.5143564,27.05,0.0,0.0,1.0,0.15,-0.14,0.01,0.07,-0.05,0.04,-0.04,0.13
1729350037.5365655,27.05,-0.0,0.0,1.0,-0.17,0.03,0.05,0.15,0.06,0.02,0.03,0.14
1729350038.5705426,26.95,0.0,-0.0,1.01,-0.04,0.08,-0.01,-0.1,-0.01,0.02,0.01,0.15
1729350039.5864506,26.91,-0.0,-0.0,1.0,0.12,-0.06,0.1,-0.08,0.12,0.01,0.01,0.16
1729350040.6183448,27.05,-0.0,0.0,1.0,0.0,-0.03,-0.1,0.01,0.05,0.0,0.03,0.16
1729350041.640199,27.09,0.01,0.0,1.01,0.12,0.08,0.19,0.06,-0.31,0.01,-0.01,0.17
1729350042.661179,26.95,-0.01,0.0,1.0,0.09,0.06,0.04,0.07,0.36,-0.0,-0.0,0.18
1729350043.692529,27.05,-0.0,0.01,1.01,0.03,-0.12,-0.01,0.51,0.15,-0.03,0.0,0.2
1729350044.724002,26.95,0.0,-0.0,1.0,0.12,0.0,-0.05,-0.18,-0.19,0.04,0.01,0.21
1729350045.7434113,27.05,0.0,0.0,0.99,-0.01,0.08,0.04,0.0,-0.2,0.0,0.01,0.22
1729350046.7711675,26.95,0.0,-0.0,1.0,0.19,0.06,-0.1,-0.1,-0.06,0.0,0.01,0.23
1729350047.8057094,26.95,0.0,-0.0,0.99,-0.01,0.0,-0.16,-0.01,-0.17,0.0,0.01,0.24
1729350048.8235707,27.0,-0.0,0.0,0.99,0.03,-0.12,-0.07,0.0,0.07,0.04,0.0,0.25
1729350049.8764436,27.0,-0.0,-0.0,1.0,0.0,-0.2,0.04,-0.15,0.14,-0.02,0.02,0.25
1729350050.8827922,26.95,0.01,0.0,1.0,-0.06,0.02,0.01,0.0,-0.31,0.03,0.01,0.26
1729350051.910587,27.0,-0.0,0.01,1.0,-0.09,0.05,-0.11,0.41,0.18,-0.02,0.04,0.27
1729350052.9362998,26.91,0.0,-0.0,1.01,-0.04,0.25,-0.05,-0.04,-0.06,0.02,0.0,0.28
1729350053.9524083,27.09,0.0,0.0,0.99,-0.09,-0.03,0.02,0.04,-0.06,0.03,0.05,0.29
1729350055.0105886,27.0,-0.0,-0.0,1.0,-0.03,-0.06,-0.04,-0.13,0.27,0.02,0.03,0.31
1729350056.0145907,27.05,0.0,-0.0,1.0,-0.03,0.0,0.08,-0.01,-0.13,-0.0,0.02,0.33
1729350057.0382493,27.05,-0.01,-0.0,1.0,0.05,-0.14,-0.07,-0.1,0.49,0.02,0.03,0.34
1729350058.0620246,27.0,0.0,0.0,1.01,0.19,-0.07,0.1,0.24,-0.17,0.01,0.04,0.36
1729350059.0895512,27.05,-0.0,0.0,1.0,-0.06,-0.06,-0.24,0.11,0.01,-0.02,0.0,0.37
1729350060.146663,27.09,0.0,-0.0,1.0,0.02,-0.06,-0.08,-0.01,-0.02,0.02,0.05,0.39
1729350061.1325896,27.09,-0.0,-0.0,1.0,0.02,-0.2,-0.05,-0.28,0.04,0.02,0.01,0.4
1729350062.1660533,27.05,-0.0,0.0,1.0,0.11,-0.11,0.07,0.17,0.18,0.01,0.06,0.42
1729350063.1914954,27.0,-0.0,-0.0,1.0,-0.01,-0.15,-0.19,-0.04,0.15,0.02,-0.0,0.44
1729350064.2182782,27.0,0.0,0.01,1.0,-0.03,-0.03,-0.05,0.48,-0.08,0.03,0.01,0.46
1729350065.2609234,26.91,-0.0,-0.0,1.01,0.08,-0.14,0.05,-0.11,0.13,0.0,0.01,0.48
1729350066.2585118,27.05,0.0,0.0,1.0,-0.07,-0.17,0.02,0.13,-0.05,0.01,0.02,0.5
1729350067.2909844,27.0,-0.0,0.01,1.0,0.08,0.11,0.04,0.29,0.09,0.03,0.03,0.52
1729350068.3121507,27.0,0.0,0.0,1.0,0.08,-0.21,0.07,0.08,-0.12,0.03,0.02,0.55
1729350069.3450985,27.0,-0.0,0.0,1.0,0.0,0.06,0.01,0.06,0.12,0.0,0.03,0.57
1729350070.360085,26.86,-0.01,0.0,1.0,-0.01,0.12,-0.14,0.11,0.32,0.04,0.02,0.6
1729350071.3853924,26.95,0.0,0.0,1.0,-0.07,0.06,0.07,0.06,-0.06,0.02,0.0,0.63
1729350072.4405346,27.0,-0.0,0.0,1.0,-0.1,-0.07,0.02,0.01,0.01,0.03,0.01,0.65
1729350073.4478989,26.95,-0.0,-0.0,1.0,-0.15,-0.01,0.01,-0.21,0.09,-0.01,0.01,0.69
